example_id                                                              | status | run_time        |
./spec/use_cases/restaurants/find_spec.rb[1:1:4:1:1]                    | passed | 0.00857 seconds |
./spec/use_cases/restaurants/find_spec.rb[1:1:5:1:1]                    | passed | 0.00816 seconds |
./spec/use_cases/restaurants/find_spec.rb[1:1:5:1:2]                    | failed | 0.03276 seconds |
./spec/use_cases/restaurants/find_spec.rb[1:1:6:1]                      | passed | 0.02118 seconds |
./spec/use_cases/restaurants/list_spec.rb[1:1:1:1:1]                    | passed | 0.00243 seconds |
./spec/use_cases/restaurants/list_spec.rb[1:1:2:1:1]                    | passed | 0.00362 seconds |
./spec/use_cases/restaurants/list_spec.rb[1:1:2:1:2]                    | passed | 0.00364 seconds |
./spec/use_cases/restaurants/list_spec.rb[1:1:3:1]                      | passed | 0.01973 seconds |
./spec/use_cases/restaurants/list_spec.rb[1:1:3:2]                      | passed | 0.0058 seconds  |
./spec/use_cases/restaurants/list_spec.rb[1:1:3:3]                      | passed | 0.01545 seconds |
./spec/use_cases/restaurants/update_spec.rb[1:1:1:1:1]                  | passed | 0.01433 seconds |
./spec/use_cases/restaurants/update_spec.rb[1:1:1:1:2]                  | passed | 0.01303 seconds |
./spec/use_cases/restaurants/update_spec.rb[1:1:2:1:1]                  | passed | 0.00767 seconds |
./spec/use_cases/restaurants/update_spec.rb[1:1:3:1:1]                  | passed | 0.00706 seconds |
./spec/use_cases/restaurants/update_spec.rb[1:1:4:1:1]                  | passed | 0.00819 seconds |
./spec/use_cases/restaurants/update_spec.rb[1:1:5:1:1]                  | passed | 0.00814 seconds |
./spec/use_cases/restaurants/update_spec.rb[1:1:5:1:2]                  | failed | 0.0042 seconds  |
./spec/use_cases/restaurants/update_spec.rb[1:1:6:1]                    | passed | 0.01186 seconds |
./spec/use_cases/restaurants/update_spec.rb[1:1:6:2]                    | passed | 0.01543 seconds |
